"","eventid","country_txt","region_txt","success","suicide","attacktype1_txt","targtype1_txt","nkill","nkillter","nwound","gdp"
"1240",201709230015,"Afghanistan","South Asia",1,0,"Armed Assault","Police",2,-999,3,"20744935406"
"6783",201712070015,"Nepal","South Asia",1,0,"Bombing/Explosion","Government (General)",0,0,5,"21463958187"
"6640",201711210017,"Nepal","South Asia",1,0,"Bombing/Explosion","Unknown",0,0,0,"21463958187"
"6793",201702270056,"Nepal","South Asia",1,0,"Bombing/Explosion","Educational Institution",0,0,0,"21463958187"
"9381",201707230006,"Somalia","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",3,0,2,NA
"6977",201708010016,"Nigeria","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",7,1,3,"4.60457E+11"
"104",201709290022,"Afghanistan","South Asia",1,1,"Bombing/Explosion","Government (General)",1,1,1,"20744935406"
"2534",201705290035,"India","South Asia",1,0,"Bombing/Explosion","Transportation",0,0,0,"2.63095E+12"
"7255",201708150022,"Nigeria","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",3,0,-999,"4.60457E+11"
"5601",201712040007,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"7554",201705090046,"Pakistan","South Asia",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"2.40857E+11"
"5935",201708300006,"Kenya","Sub-Saharan Africa",1,0,"Bombing/Explosion","Police",0,0,0,"58109837754"
"3079",201704160005,"India","South Asia",1,0,"Armed Assault","Government (General)",1,0,0,"2.63095E+12"
"10054",201702240031,"Thailand","Southeast Asia",1,0,"Bombing/Explosion","Police",0,0,6,"4.22941E+11"
"3183",201706160061,"India","South Asia",1,0,"Facility/Infrastructure Attack","Government (General)",0,0,0,"2.63095E+12"
"9114",201707030033,"Somalia","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",15,12,21,NA
"3116",201710220020,"India","South Asia",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"2.63095E+12"
"2904",201712280035,"India","South Asia",1,0,"Hostage Taking (Barricade Incident)","Business",0,0,0,"2.63095E+12"
"2032",201702200011,"Egypt","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",2,0,0,"2.7171E+11"
"2527",201711240041,"India","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.63095E+12"
"3445",201704140029,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,3,"2.08595E+11"
"3294",201711280043,"India","South Asia",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,0,"2.63095E+12"
"1731",201708280027,"Chile","South America",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"2.71896E+11"
"436",201703280038,"Afghanistan","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"20744935406"
"2380",201708200023,"India","South Asia",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",1,0,0,"2.63095E+12"
"8816",201708020006,"Saudi Arabia","Middle East & North Africa",1,0,"Armed Assault","Private Citizens & Property",1,0,1,"6.84158E+11"
"5717",201708130005,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,0,"2.08595E+11"
"9946",201708090024,"Thailand","Southeast Asia",1,0,"Bombing/Explosion","Military",0,0,3,"4.22941E+11"
"9039",201706100029,"Somalia","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",10,-999,-999,NA
"498",201708110027,"Afghanistan","South Asia",1,0,"Unknown","Police",5,3,3,"20744935406"
"4958",201706200045,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,2,"2.08595E+11"
"2883",201711280023,"India","South Asia",1,0,"Unarmed Assault","Business",0,0,2,"2.63095E+12"
"3312",201704300011,"India","South Asia",1,0,"Armed Assault","Private Citizens & Property",0,0,1,"2.63095E+12"
"5513",201706300043,"Iraq","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"2.08595E+11"
"1968",201707140009,"Democratic Republic of the Congo","Sub-Saharan Africa",1,0,"Armed Assault","Government (General)",1,0,3,"33277598255"
"8254",201707260037,"Philippines","Southeast Asia",0,0,"Assassination","Journalists & Media",0,0,1,"3.03356E+11"
"2187",201710290010,"Egypt","Middle East & North Africa",1,0,"Bombing/Explosion","Police",2,0,10,"2.7171E+11"
"2812",201707230037,"India","South Asia",1,0,"Bombing/Explosion","Police",0,0,0,"2.63095E+12"
"10777",201707170012,"Yemen","Middle East & North Africa",1,1,"Bombing/Explosion","Military",9,1,5,"19564086828"
